/Users/joe-caozhi/Library/Python/3.9/lib/python/site-packages/gymnasium/envs/registration.py:519: DeprecationWarning: [33mWARN: The environment Hopper-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(

========================================================================
  Off-Policy vs On-Policy Comparison
  Envs:  ['Hopper-v4', 'Walker2d-v4', 'HalfCheetah-v4']
  Algos: ['SAC', 'TD3']  (SAC/TD3: 1,000,000 steps)
  Seeds: [42, 123, 456, 789, 1234]
  Total runs: 30
========================================================================


  [1/30] Hopper-v4 | SAC | seed=42
[SAC] Step  952320/1000000 | Eval:   3270.9 | Buffer:  952320 | Elapsed: 8093s
[SAC] Step  962560/1000000 | Eval:   3489.7 | Buffer:  962560 | Elapsed: 8170s
[SAC] Step  972800/1000000 | Eval:   3423.5 | Buffer:  972800 | Elapsed: 8245s
[SAC] Step  983040/1000000 | Eval:   3444.9 | Buffer:  983040 | Elapsed: 8321s
[SAC] Step  993280/1000000 | Eval:   3439.6 | Buffer:  993280 | Elapsed: 8396s
  -> Saved: results/OffPolicyComparison/Hopper-v4/SAC/SAC_s42_metrics.json
  -> SAC Hopper-v4 s42: 3413.7 (8448s)
/Users/joe-caozhi/Library/Python/3.9/lib/python/site-packages/gymnasium/envs/registration.py:519: DeprecationWarning: [33mWARN: The environment Hopper-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
  Saved summary -> results/OffPolicyComparison/offpolicy_comparison_summary.json

  [2/30] Hopper-v4 | SAC | seed=123
[SAC] Step   10240/1000000 | Eval:    130.1 | Buffer:   10240 | Elapsed: 3s
[SAC] Step   20480/1000000 | Eval:    274.8 | Buffer:   20480 | Elapsed: 79s
[SAC] Step   30720/1000000 | Eval:    368.4 | Buffer:   30720 | Elapsed: 154s
[SAC] Step   40960/1000000 | Eval:    424.8 | Buffer:   40960 | Elapsed: 229s
[SAC] Step   51200/1000000 | Eval:    579.2 | Buffer:   51200 | Elapsed: 305s
[SAC] Step   61440/1000000 | Eval:    667.5 | Buffer:   61440 | Elapsed: 380s
[SAC] Step   71680/1000000 | Eval:    489.2 | Buffer:   71680 | Elapsed: 455s
[SAC] Step   81920/1000000 | Eval:    442.2 | Buffer:   81920 | Elapsed: 531s
[SAC] Step   92160/1000000 | Eval:    531.0 | Buffer:   92160 | Elapsed: 606s
[SAC] Step  102400/1000000 | Eval:    573.0 | Buffer:  102400 | Elapsed: 681s
[SAC] Step  112640/1000000 | Eval:    659.8 | Buffer:  112640 | Elapsed: 756s
[SAC] Step  122880/1000000 | Eval:    673.0 | Buffer:  122880 | Elapsed: 832s
[SAC] Step  133120/1000000 | Eval:    930.0 | Buffer:  133120 | Elapsed: 907s
[SAC] Step  143360/1000000 | Eval:    856.0 | Buffer:  143360 | Elapsed: 983s
[SAC] Step  153600/1000000 | Eval:   1054.9 | Buffer:  153600 | Elapsed: 1058s
[SAC] Step  163840/1000000 | Eval:   2077.8 | Buffer:  163840 | Elapsed: 1134s
[SAC] Step  174080/1000000 | Eval:   2120.3 | Buffer:  174080 | Elapsed: 1210s
[SAC] Step  184320/1000000 | Eval:   2393.8 | Buffer:  184320 | Elapsed: 1286s
[SAC] Step  194560/1000000 | Eval:   1754.1 | Buffer:  194560 | Elapsed: 1363s
[SAC] Step  204800/1000000 | Eval:    838.1 | Buffer:  204800 | Elapsed: 1438s
[SAC] Step  215040/1000000 | Eval:   1623.6 | Buffer:  215040 | Elapsed: 1514s
[SAC] Step  225280/1000000 | Eval:   2809.2 | Buffer:  225280 | Elapsed: 1590s
[SAC] Step  235520/1000000 | Eval:   3159.8 | Buffer:  235520 | Elapsed: 1667s
[SAC] Step  245760/1000000 | Eval:   2404.4 | Buffer:  245760 | Elapsed: 1744s
[SAC] Step  256000/1000000 | Eval:   1047.2 | Buffer:  256000 | Elapsed: 1816s
[SAC] Step  266240/1000000 | Eval:   3161.6 | Buffer:  266240 | Elapsed: 1889s
[SAC] Step  276480/1000000 | Eval:   3122.9 | Buffer:  276480 | Elapsed: 1962s
[SAC] Step  286720/1000000 | Eval:   3242.1 | Buffer:  286720 | Elapsed: 2035s
[SAC] Step  296960/1000000 | Eval:   3199.5 | Buffer:  296960 | Elapsed: 2107s
[SAC] Step  307200/1000000 | Eval:   3269.4 | Buffer:  307200 | Elapsed: 2180s
[SAC] Step  317440/1000000 | Eval:   3214.6 | Buffer:  317440 | Elapsed: 2253s
[SAC] Step  327680/1000000 | Eval:   3229.7 | Buffer:  327680 | Elapsed: 2326s
[SAC] Step  337920/1000000 | Eval:   3235.9 | Buffer:  337920 | Elapsed: 2399s
[SAC] Step  348160/1000000 | Eval:   3251.8 | Buffer:  348160 | Elapsed: 2472s
[SAC] Step  358400/1000000 | Eval:   2736.3 | Buffer:  358400 | Elapsed: 2545s
[SAC] Step  368640/1000000 | Eval:   3265.7 | Buffer:  368640 | Elapsed: 2617s
[SAC] Step  378880/1000000 | Eval:   2490.3 | Buffer:  378880 | Elapsed: 2689s
[SAC] Step  389120/1000000 | Eval:   3249.8 | Buffer:  389120 | Elapsed: 2762s
[SAC] Step  399360/1000000 | Eval:   3272.0 | Buffer:  399360 | Elapsed: 2835s
[SAC] Step  409600/1000000 | Eval:   1103.4 | Buffer:  409600 | Elapsed: 2906s
[SAC] Step  419840/1000000 | Eval:   3214.1 | Buffer:  419840 | Elapsed: 2979s
[SAC] Step  430080/1000000 | Eval:   3258.7 | Buffer:  430080 | Elapsed: 3052s
[SAC] Step  440320/1000000 | Eval:   3228.6 | Buffer:  440320 | Elapsed: 3129s
[SAC] Step  450560/1000000 | Eval:   2676.0 | Buffer:  450560 | Elapsed: 3201s
[SAC] Step  460800/1000000 | Eval:   3264.4 | Buffer:  460800 | Elapsed: 3274s
[SAC] Step  471040/1000000 | Eval:   3241.4 | Buffer:  471040 | Elapsed: 3346s
[SAC] Step  481280/1000000 | Eval:   2130.1 | Buffer:  481280 | Elapsed: 3419s
[SAC] Step  491520/1000000 | Eval:   3272.7 | Buffer:  491520 | Elapsed: 3492s
[SAC] Step  501760/1000000 | Eval:   3160.9 | Buffer:  501760 | Elapsed: 3565s
[SAC] Step  512000/1000000 | Eval:   2731.6 | Buffer:  512000 | Elapsed: 3637s
[SAC] Step  522240/1000000 | Eval:   3220.6 | Buffer:  522240 | Elapsed: 3709s
[SAC] Step  532480/1000000 | Eval:   3326.0 | Buffer:  532480 | Elapsed: 3782s
[SAC] Step  542720/1000000 | Eval:   1209.1 | Buffer:  542720 | Elapsed: 3854s
[SAC] Step  552960/1000000 | Eval:   3243.0 | Buffer:  552960 | Elapsed: 3927s
[SAC] Step  563200/1000000 | Eval:   1978.2 | Buffer:  563200 | Elapsed: 3999s
[SAC] Step  573440/1000000 | Eval:   3097.6 | Buffer:  573440 | Elapsed: 4072s
[SAC] Step  583680/1000000 | Eval:   3155.6 | Buffer:  583680 | Elapsed: 4144s
[SAC] Step  593920/1000000 | Eval:   3287.3 | Buffer:  593920 | Elapsed: 4217s
[SAC] Step  604160/1000000 | Eval:   3298.4 | Buffer:  604160 | Elapsed: 4290s
[SAC] Step  614400/1000000 | Eval:    174.3 | Buffer:  614400 | Elapsed: 4361s
[SAC] Step  624640/1000000 | Eval:   3218.4 | Buffer:  624640 | Elapsed: 4434s
[SAC] Step  634880/1000000 | Eval:   3267.7 | Buffer:  634880 | Elapsed: 4507s
[SAC] Step  645120/1000000 | Eval:   3320.4 | Buffer:  645120 | Elapsed: 4580s
[SAC] Step  655360/1000000 | Eval:   3351.5 | Buffer:  655360 | Elapsed: 4653s
[SAC] Step  665600/1000000 | Eval:   1787.8 | Buffer:  665600 | Elapsed: 4725s
[SAC] Step  675840/1000000 | Eval:   3298.7 | Buffer:  675840 | Elapsed: 4799s
[SAC] Step  686080/1000000 | Eval:   3319.5 | Buffer:  686080 | Elapsed: 4872s
[SAC] Step  696320/1000000 | Eval:   3365.7 | Buffer:  696320 | Elapsed: 4946s
[SAC] Step  706560/1000000 | Eval:   2907.0 | Buffer:  706560 | Elapsed: 5019s
[SAC] Step  716800/1000000 | Eval:   3266.9 | Buffer:  716800 | Elapsed: 5093s
[SAC] Step  727040/1000000 | Eval:   3289.3 | Buffer:  727040 | Elapsed: 5166s
[SAC] Step  737280/1000000 | Eval:   3301.4 | Buffer:  737280 | Elapsed: 5240s
[SAC] Step  747520/1000000 | Eval:    919.6 | Buffer:  747520 | Elapsed: 5313s
[SAC] Step  757760/1000000 | Eval:   3388.9 | Buffer:  757760 | Elapsed: 5387s
[SAC] Step  768000/1000000 | Eval:   3320.0 | Buffer:  768000 | Elapsed: 5461s
[SAC] Step  778240/1000000 | Eval:   3316.8 | Buffer:  778240 | Elapsed: 5534s
[SAC] Step  788480/1000000 | Eval:   3146.7 | Buffer:  788480 | Elapsed: 5608s
[SAC] Step  798720/1000000 | Eval:   3299.8 | Buffer:  798720 | Elapsed: 5681s
[SAC] Step  808960/1000000 | Eval:   3361.8 | Buffer:  808960 | Elapsed: 5755s
[SAC] Step  819200/1000000 | Eval:   3351.5 | Buffer:  819200 | Elapsed: 5828s
[SAC] Step  829440/1000000 | Eval:    991.3 | Buffer:  829440 | Elapsed: 5901s
[SAC] Step  839680/1000000 | Eval:   3383.0 | Buffer:  839680 | Elapsed: 5975s
[SAC] Step  849920/1000000 | Eval:   1760.7 | Buffer:  849920 | Elapsed: 6048s
[SAC] Step  860160/1000000 | Eval:   2662.2 | Buffer:  860160 | Elapsed: 6122s
[SAC] Step  870400/1000000 | Eval:   3432.5 | Buffer:  870400 | Elapsed: 6196s
[SAC] Step  880640/1000000 | Eval:   3434.5 | Buffer:  880640 | Elapsed: 6269s
[SAC] Step  890880/1000000 | Eval:   3424.4 | Buffer:  890880 | Elapsed: 6343s
[SAC] Step  901120/1000000 | Eval:   3416.3 | Buffer:  901120 | Elapsed: 6416s
[SAC] Step  911360/1000000 | Eval:   3417.0 | Buffer:  911360 | Elapsed: 6490s
[SAC] Step  921600/1000000 | Eval:   3395.4 | Buffer:  921600 | Elapsed: 6563s
[SAC] Step  931840/1000000 | Eval:   1194.8 | Buffer:  931840 | Elapsed: 6636s
[SAC] Step  942080/1000000 | Eval:   3383.0 | Buffer:  942080 | Elapsed: 6710s
[SAC] Step  952320/1000000 | Eval:   3414.9 | Buffer:  952320 | Elapsed: 6783s
[SAC] Step  962560/1000000 | Eval:   3422.9 | Buffer:  962560 | Elapsed: 6857s
[SAC] Step  972800/1000000 | Eval:     21.1 | Buffer:  972800 | Elapsed: 6930s
[SAC] Step  983040/1000000 | Eval:   3099.2 | Buffer:  983040 | Elapsed: 7003s
[SAC] Step  993280/1000000 | Eval:   3456.7 | Buffer:  993280 | Elapsed: 7077s
  -> Saved: results/OffPolicyComparison/Hopper-v4/SAC/SAC_s123_metrics.json
  -> SAC Hopper-v4 s123: 2683.0 (7126s)
  Saved summary -> results/OffPolicyComparison/offpolicy_comparison_summary.json

  [3/30] Hopper-v4 | SAC | seed=456
[SAC] Step   10240/1000000 | Eval:     93.8 | Buffer:   10240 | Elapsed: 3s
[SAC] Step   20480/1000000 | Eval:    272.7 | Buffer:   20480 | Elapsed: 80s
[SAC] Step   30720/1000000 | Eval:    325.1 | Buffer:   30720 | Elapsed: 154s
[SAC] Step   40960/1000000 | Eval:    413.0 | Buffer:   40960 | Elapsed: 228s
[SAC] Step   51200/1000000 | Eval:    806.8 | Buffer:   51200 | Elapsed: 303s
[SAC] Step   61440/1000000 | Eval:    621.5 | Buffer:   61440 | Elapsed: 377s
[SAC] Step   71680/1000000 | Eval:    500.1 | Buffer:   71680 | Elapsed: 451s
[SAC] Step   81920/1000000 | Eval:    983.1 | Buffer:   81920 | Elapsed: 526s
[SAC] Step   92160/1000000 | Eval:    534.1 | Buffer:   92160 | Elapsed: 600s
[SAC] Step  102400/1000000 | Eval:    927.9 | Buffer:  102400 | Elapsed: 675s
[SAC] Step  112640/1000000 | Eval:    944.6 | Buffer:  112640 | Elapsed: 750s
[SAC] Step  122880/1000000 | Eval:    952.9 | Buffer:  122880 | Elapsed: 825s
[SAC] Step  133120/1000000 | Eval:   2485.8 | Buffer:  133120 | Elapsed: 900s
[SAC] Step  143360/1000000 | Eval:    744.7 | Buffer:  143360 | Elapsed: 975s
[SAC] Step  153600/1000000 | Eval:   1274.4 | Buffer:  153600 | Elapsed: 1050s
[SAC] Step  163840/1000000 | Eval:   2169.2 | Buffer:  163840 | Elapsed: 1125s
[SAC] Step  174080/1000000 | Eval:   3145.9 | Buffer:  174080 | Elapsed: 1200s
[SAC] Step  184320/1000000 | Eval:   3200.2 | Buffer:  184320 | Elapsed: 1275s
[SAC] Step  194560/1000000 | Eval:   3176.4 | Buffer:  194560 | Elapsed: 1351s
[SAC] Step  204800/1000000 | Eval:   1441.0 | Buffer:  204800 | Elapsed: 1425s
[SAC] Step  215040/1000000 | Eval:   3164.9 | Buffer:  215040 | Elapsed: 1501s
[SAC] Step  225280/1000000 | Eval:   3224.1 | Buffer:  225280 | Elapsed: 1577s
[SAC] Step  235520/1000000 | Eval:   2899.6 | Buffer:  235520 | Elapsed: 1652s
[SAC] Step  245760/1000000 | Eval:   2273.0 | Buffer:  245760 | Elapsed: 1727s
[SAC] Step  256000/1000000 | Eval:   3045.7 | Buffer:  256000 | Elapsed: 1804s
[SAC] Step  266240/1000000 | Eval:   3230.1 | Buffer:  266240 | Elapsed: 1883s
[SAC] Step  276480/1000000 | Eval:   3278.9 | Buffer:  276480 | Elapsed: 1962s
[SAC] Step  286720/1000000 | Eval:   3261.7 | Buffer:  286720 | Elapsed: 2042s
[SAC] Step  296960/1000000 | Eval:   3222.9 | Buffer:  296960 | Elapsed: 2121s
[SAC] Step  307200/1000000 | Eval:   3243.5 | Buffer:  307200 | Elapsed: 2201s
[SAC] Step  317440/1000000 | Eval:   3297.8 | Buffer:  317440 | Elapsed: 2281s
[SAC] Step  327680/1000000 | Eval:   2001.8 | Buffer:  327680 | Elapsed: 2360s
[SAC] Step  337920/1000000 | Eval:   3305.4 | Buffer:  337920 | Elapsed: 2439s
[SAC] Step  348160/1000000 | Eval:   2689.6 | Buffer:  348160 | Elapsed: 2519s
[SAC] Step  358400/1000000 | Eval:   3250.3 | Buffer:  358400 | Elapsed: 2598s
[SAC] Step  368640/1000000 | Eval:   1948.8 | Buffer:  368640 | Elapsed: 2676s
[SAC] Step  378880/1000000 | Eval:     77.1 | Buffer:  378880 | Elapsed: 2754s
[SAC] Step  389120/1000000 | Eval:   3366.2 | Buffer:  389120 | Elapsed: 2833s
[SAC] Step  399360/1000000 | Eval:   3333.3 | Buffer:  399360 | Elapsed: 2912s
[SAC] Step  409600/1000000 | Eval:   2040.9 | Buffer:  409600 | Elapsed: 2991s
[SAC] Step  419840/1000000 | Eval:   2896.9 | Buffer:  419840 | Elapsed: 3070s
[SAC] Step  430080/1000000 | Eval:   3319.4 | Buffer:  430080 | Elapsed: 3153s
[SAC] Step  440320/1000000 | Eval:   3360.5 | Buffer:  440320 | Elapsed: 3232s
[SAC] Step  450560/1000000 | Eval:   3354.7 | Buffer:  450560 | Elapsed: 3311s
[SAC] Step  460800/1000000 | Eval:   3385.8 | Buffer:  460800 | Elapsed: 3390s
[SAC] Step  471040/1000000 | Eval:   3123.8 | Buffer:  471040 | Elapsed: 3468s
[SAC] Step  481280/1000000 | Eval:   3367.7 | Buffer:  481280 | Elapsed: 3547s
[SAC] Step  491520/1000000 | Eval:   3374.6 | Buffer:  491520 | Elapsed: 3625s
[SAC] Step  501760/1000000 | Eval:   3423.1 | Buffer:  501760 | Elapsed: 3700s
[SAC] Step  512000/1000000 | Eval:   3376.8 | Buffer:  512000 | Elapsed: 3775s
[SAC] Step  522240/1000000 | Eval:   3358.7 | Buffer:  522240 | Elapsed: 3851s
[SAC] Step  532480/1000000 | Eval:   3329.9 | Buffer:  532480 | Elapsed: 3926s
[SAC] Step  542720/1000000 | Eval:   3390.3 | Buffer:  542720 | Elapsed: 4002s
[SAC] Step  552960/1000000 | Eval:   3412.5 | Buffer:  552960 | Elapsed: 4077s
[SAC] Step  563200/1000000 | Eval:   3365.6 | Buffer:  563200 | Elapsed: 4152s
[SAC] Step  573440/1000000 | Eval:   3401.1 | Buffer:  573440 | Elapsed: 4227s
[SAC] Step  583680/1000000 | Eval:   3400.4 | Buffer:  583680 | Elapsed: 4302s
[SAC] Step  593920/1000000 | Eval:   3387.0 | Buffer:  593920 | Elapsed: 4377s
[SAC] Step  604160/1000000 | Eval:   2974.0 | Buffer:  604160 | Elapsed: 4453s
[SAC] Step  614400/1000000 | Eval:   3473.3 | Buffer:  614400 | Elapsed: 4528s
[SAC] Step  624640/1000000 | Eval:   3398.7 | Buffer:  624640 | Elapsed: 4604s
[SAC] Step  634880/1000000 | Eval:   3423.1 | Buffer:  634880 | Elapsed: 4680s
[SAC] Step  645120/1000000 | Eval:   1253.1 | Buffer:  645120 | Elapsed: 4755s
[SAC] Step  655360/1000000 | Eval:   3362.4 | Buffer:  655360 | Elapsed: 4830s
[SAC] Step  665600/1000000 | Eval:   1531.9 | Buffer:  665600 | Elapsed: 4905s
[SAC] Step  675840/1000000 | Eval:   2932.5 | Buffer:  675840 | Elapsed: 4980s
[SAC] Step  686080/1000000 | Eval:   3377.5 | Buffer:  686080 | Elapsed: 5055s
[SAC] Step  696320/1000000 | Eval:   3403.6 | Buffer:  696320 | Elapsed: 5132s
[SAC] Step  706560/1000000 | Eval:     43.6 | Buffer:  706560 | Elapsed: 5207s
[SAC] Step  716800/1000000 | Eval:   1318.7 | Buffer:  716800 | Elapsed: 5282s
[SAC] Step  727040/1000000 | Eval:   3413.9 | Buffer:  727040 | Elapsed: 5358s
[SAC] Step  737280/1000000 | Eval:   3371.9 | Buffer:  737280 | Elapsed: 5438s
[SAC] Step  747520/1000000 | Eval:   3405.7 | Buffer:  747520 | Elapsed: 5543s
[SAC] Step  757760/1000000 | Eval:   3362.0 | Buffer:  757760 | Elapsed: 5670s
[SAC] Step  768000/1000000 | Eval:   3382.6 | Buffer:  768000 | Elapsed: 5767s
[SAC] Step  778240/1000000 | Eval:   3415.7 | Buffer:  778240 | Elapsed: 5851s
[SAC] Step  788480/1000000 | Eval:   3411.3 | Buffer:  788480 | Elapsed: 5934s
[SAC] Step  798720/1000000 | Eval:   2906.3 | Buffer:  798720 | Elapsed: 6018s
[SAC] Step  808960/1000000 | Eval:   3428.8 | Buffer:  808960 | Elapsed: 6102s
[SAC] Step  819200/1000000 | Eval:   3447.0 | Buffer:  819200 | Elapsed: 6185s
